0;111
1;110
2;111
3;109
4;109
5;109
6;109
7;107
8;108
9;106
10;105
11;103
12;103
13;102
14;101
15;101
16;100
17;99
18;99
19;99
20;101
21;98
22;96
23;97
24;96
25;97
26;96
27;94
28;92
29;91
30;91
31;90
32;88
33;90
34;93
35;92
36;94
37;97
38;94
39;95
40;94
41;94
42;89
43;90
44;92
45;86
46;87
47;84
48;82
49;80
50;79
51;78
52;76
53;76
54;75
55;73
56;76
57;73
58;69
59;64
60;65
61;65
62;65
63;66
64;66
65;67
66;67
67;66
68;66
69;66
70;67
71;68
72;70
73;67
74;68
75;68
76;70
77;67
78;69
79;70
80;71
81;67
82;66
83;65
84;63
85;64
86;64
87;64
88;64
89;65
90;62
91;60
92;56
93;55
94;56
95;55
96;55
97;55
98;55
99;55
100;53
101;51
102;49
103;49
104;50
105;49
106;49
107;47
108;48
109;48
110;48
111;47
112;45
113;45
114;45
115;43
116;44
117;47
118;47
119;45
120;47
121;45
122;46
123;45
124;46
125;46
126;45
127;45
128;42
129;42
130;41
131;40
132;38
133;37
134;38
135;39
136;40
137;39
138;40
139;39
140;39
141;39
142;39
143;39
144;38
145;36
146;36
147;35
148;36
149;35
150;36
151;36
152;34
153;33
154;33
155;33
156;34
157;34
158;34
159;32
160;33
161;33
162;32
163;32
164;32
165;32
166;33
167;33
168;34
169;33
170;34
171;34
172;34
173;33
174;34
175;34
176;32
177;33
178;31
179;32
180;31
181;30
182;31
183;30
184;30
185;31
186;31
187;31
188;30
189;31
190;31
191;31
192;31
193;31
194;32
195;32
196;33
197;33
198;33
199;32
200;31
201;31
202;31
203;31
204;30
205;30
206;30
207;29
208;29
209;28
210;29
211;29
212;30
213;30
214;31
215;32
216;32
217;33
218;33
219;31
220;30
221;30
222;30
223;30
224;29
225;29
226;29
227;29
228;31
229;32
230;33
231;34
232;32
233;31
234;30
235;30
236;29
237;30
238;29
239;28
240;27
241;27
242;27
243;28
244;27
245;28
246;28
247;29
248;29
249;29
250;29
251;29
252;28
253;27
254;27
255;27
256;27
257;26
258;26
259;26
260;26
261;26
262;25
263;25
264;25
265;24
266;24
267;25
268;25
269;25
270;25
271;26
272;26
273;26
274;27
275;26
276;26
277;26
278;27
279;27
280;26
281;26
282;27
283;26
284;27
285;26
286;25
287;25
288;24
289;24
290;24
291;24
292;24
293;24
294;25
295;24
296;23
297;24
298;24
299;25
300;25
301;25
302;24
303;25
304;25
305;24
306;25
307;24
308;25
309;25
310;26
311;24
312;25
313;25
314;24
315;24
316;25
317;26
318;26
319;26
320;26
321;27
322;26
323;26
324;26
325;26
326;27
327;26
328;25
329;25
330;24
331;25
332;25
333;25
334;25
335;24
336;23
337;22
338;23
339;23
340;22
341;23
342;22
343;23
344;23
345;22
346;23
347;22
348;22
349;22
350;22
351;22
352;23
353;22
354;22
355;22
356;22
357;22
358;23
359;23
360;23
361;24
362;23
363;23
364;24
365;26
366;27
367;26
368;26
369;28
370;26
371;28
372;27
373;26
374;26
375;26
376;25
377;25
378;25
379;23
380;24
381;22
382;22
383;23
384;23
385;22
386;22
387;22
388;22
389;22
390;21
391;22
392;21
393;21
394;22
395;21
396;21
397;23
398;23
399;22
